name	version	license
@antfu/install-pkg	1.1.0	MIT
@asamuzakjp/css-color	3.2.0	MIT
@asamuzakjp/css-color/node_modules/lru-cache	10.4.3	ISC
@babel/code-frame	7.29.7	MIT
@babel/compat-data	7.29.7	MIT
@babel/core	7.29.7	MIT
@babel/generator	7.29.8	MIT
@babel/helper-compilation-targets	7.29.7	MIT
@babel/helper-globals	7.29.7	MIT
@babel/helper-module-imports	7.29.7	MIT
@babel/helper-module-transforms	7.29.7	MIT
@babel/helper-plugin-utils	7.29.7	MIT
@babel/helper-string-parser	7.29.7	MIT
@babel/helper-validator-identifier	7.29.7	MIT
@babel/helper-validator-option	7.29.7	MIT
@babel/helpers	7.29.7	MIT
@babel/parser	7.29.8	MIT
@babel/plugin-transform-react-jsx-self	7.29.7	MIT
@babel/plugin-transform-react-jsx-source	7.29.7	MIT
@babel/runtime	7.29.7	MIT
@babel/template	7.29.7	MIT
@babel/traverse	7.29.8	MIT
@babel/types	7.29.8	MIT
@braintree/sanitize-url	7.1.2	MIT
@chevrotain/types	11.1.2	Apache-2.0
@codemirror/autocomplete	6.20.3	MIT
@codemirror/commands	6.11.0	MIT
@codemirror/lang-angular	0.1.4	MIT
@codemirror/lang-cpp	6.0.3	MIT
@codemirror/lang-css	6.3.1	MIT
@codemirror/lang-go	6.0.1	MIT
@codemirror/lang-html	6.4.12	MIT
@codemirror/lang-java	6.0.2	MIT
@codemirror/lang-javascript	6.2.5	MIT
@codemirror/lang-jinja	6.0.1	MIT
@codemirror/lang-json	6.0.2	MIT
@codemirror/lang-less	6.0.2	MIT
@codemirror/lang-liquid	6.3.2	MIT
@codemirror/lang-markdown	6.5.2	MIT
@codemirror/lang-php	6.0.2	MIT
@codemirror/lang-python	6.2.1	MIT
@codemirror/lang-rust	6.0.2	MIT
@codemirror/lang-sass	6.0.2	MIT
@codemirror/lang-sql	6.10.0	MIT
@codemirror/lang-vue	0.1.3	MIT
@codemirror/lang-wast	6.0.2	MIT
@codemirror/lang-xml	6.1.0	MIT
@codemirror/lang-yaml	6.1.3	MIT
@codemirror/language	6.12.4	MIT
@codemirror/language-data	6.5.2	MIT
@codemirror/legacy-modes	6.5.3	MIT
@codemirror/lint	6.9.7	MIT
@codemirror/merge	6.12.2	MIT
@codemirror/search	6.7.1	MIT
@codemirror/state	6.7.1	MIT
@codemirror/theme-one-dark	6.1.3	MIT
@codemirror/view	6.43.9	MIT
@csstools/color-helpers	5.1.0	MIT-0
@csstools/css-calc	2.1.4	MIT
@csstools/css-color-parser	3.1.0	MIT
@csstools/css-parser-algorithms	3.0.5	MIT
@csstools/css-tokenizer	3.0.4	MIT
@dagrejs/dagre	3.1.1	MIT
@dagrejs/graphlib	4.0.5	MIT
@esbuild/aix-ppc64	0.28.2	MIT
@esbuild/android-arm	0.28.2	MIT
@esbuild/android-arm64	0.28.2	MIT
@esbuild/android-x64	0.28.2	MIT
@esbuild/darwin-arm64	0.28.2	MIT
@esbuild/darwin-x64	0.28.2	MIT
@esbuild/freebsd-arm64	0.28.2	MIT
@esbuild/freebsd-x64	0.28.2	MIT
@esbuild/linux-arm	0.28.2	MIT
@esbuild/linux-arm64	0.28.2	MIT
@esbuild/linux-ia32	0.28.2	MIT
@esbuild/linux-loong64	0.28.2	MIT
@esbuild/linux-mips64el	0.28.2	MIT
@esbuild/linux-ppc64	0.28.2	MIT
@esbuild/linux-riscv64	0.28.2	MIT
@esbuild/linux-s390x	0.28.2	MIT
@esbuild/linux-x64	0.28.2	MIT
@esbuild/netbsd-arm64	0.28.2	MIT
@esbuild/netbsd-x64	0.28.2	MIT
@esbuild/openbsd-arm64	0.28.2	MIT
@esbuild/openbsd-x64	0.28.2	MIT
@esbuild/openharmony-arm64	0.28.2	MIT
@esbuild/sunos-x64	0.28.2	MIT
@esbuild/win32-arm64	0.28.2	MIT
@esbuild/win32-ia32	0.28.2	MIT
@esbuild/win32-x64	0.28.2	MIT
@eslint-community/eslint-utils	4.10.1	MIT
@eslint-community/eslint-utils/node_modules/eslint-visitor-keys	3.4.3	Apache-2.0
@eslint-community/regexpp	4.12.2	MIT
@eslint/config-array	0.21.2	Apache-2.0
@eslint/config-helpers	0.4.2	Apache-2.0
@eslint/core	0.17.0	Apache-2.0
@eslint/eslintrc	3.3.6	MIT
@eslint/eslintrc/node_modules/globals	14.0.0	MIT
@eslint/js	9.39.5	MIT
@eslint/object-schema	2.1.7	Apache-2.0
@eslint/plugin-kit	0.4.1	Apache-2.0
@humanfs/core	0.19.2	Apache-2.0
@humanfs/node	0.16.8	Apache-2.0
@humanfs/types	0.15.0	Apache-2.0
@humanwhocodes/module-importer	1.0.1	Apache-2.0
@humanwhocodes/retry	0.4.3	Apache-2.0
@iconify/types	2.0.0	MIT
@iconify/utils	3.1.4	MIT
@jridgewell/gen-mapping	0.3.13	MIT
@jridgewell/remapping	2.3.5	MIT
@jridgewell/resolve-uri	3.1.2	MIT
@jridgewell/sourcemap-codec	1.6.0	MIT
@jridgewell/trace-mapping	0.3.31	MIT
@lezer/common	1.5.2	MIT
@lezer/cpp	1.1.6	MIT
@lezer/css	1.3.6	MIT
@lezer/go	1.0.1	MIT
@lezer/highlight	1.2.3	MIT
@lezer/html	1.3.13	MIT
@lezer/java	1.1.3	MIT
@lezer/javascript	1.5.4	MIT
@lezer/json	1.0.3	MIT
@lezer/lr	1.4.10	MIT
@lezer/markdown	1.7.2	MIT
@lezer/php	1.0.5	MIT
@lezer/python	1.1.19	MIT
@lezer/rust	1.0.2	MIT
@lezer/sass	1.1.0	MIT
@lezer/xml	1.0.6	MIT
@lezer/yaml	1.0.4	MIT
